plan,sport,year,month,dataSize,fileCount
B,Soccer,2017,10,620,377367
P,Soccer,2017,10,25397,377367
A,Soccer,2017,10,16726,377333
P,Soccer,2017,9,21936,365272
A,Soccer,2017,9,15164,365263
B,Soccer,2017,9,586,365262
B,Soccer,2017,8,549,352896
A,Soccer,2017,8,14108,352893
P,Soccer,2017,8,20616,352892
B,Soccer,2016,4,319,213636
A,Soccer,2016,4,6956,213636
P,Soccer,2016,4,9522,213636
A,Soccer,2017,4,8048,210657
P,Soccer,2017,4,11675,210657
B,Soccer,2017,4,326,210657
B,Soccer,2016,10,319,206134
A,Soccer,2016,10,7938,206134
P,Soccer,2016,10,11011,206134
B,Soccer,2015,8,309,205471
A,Soccer,2015,8,5613,205471
P,Soccer,2015,8,7540,205471
B,Soccer,2015,9,307,204405
A,Soccer,2015,9,5908,204405
P,Soccer,2015,9,7857,204405
B,Soccer,2016,9,311,204185
A,Soccer,2016,9,7276,204185
P,Soccer,2016,9,10046,204185
B,Soccer,2017,11,351,201804
A,Soccer,2017,11,9791,201803
P,Soccer,2017,11,14440,201802
P,Soccer,2015,10,8266,198993
B,Soccer,2015,10,304,198954
A,Soccer,2015,10,6155,198954
P,Soccer,2018,9,15504,190335
A,Soccer,2018,9,9851,189008
P,Soccer,2018,8,16543,188900
B,Soccer,2018,9,329,188303
A,Soccer,2018,8,10271,187881
B,Soccer,2018,8,334,186551
P,Soccer,2018,10,16342,185200
B,Soccer,2016,8,280,184751
A,Soccer,2016,8,6474,184751
P,Soccer,2016,8,8899,184751
A,Soccer,2018,10,10311,184219
B,Soccer,2018,10,331,183397
B,Soccer,2017,3,280,178705
A,Soccer,2017,3,6983,178705
P,Soccer,2017,3,10154,178705
B,Soccer,2017,5,276,177561
A,Soccer,2017,5,7114,177561
P,Soccer,2017,5,10420,177561
P,Soccer,2018,3,13197,174084
A,Soccer,2018,3,8887,173896
B,Soccer,2018,3,311,173855
B,Soccer,2016,5,264,172743
A,Soccer,2016,5,5660,172743
P,Soccer,2016,5,7653,172743
B,Soccer,2015,11,267,170764
A,Soccer,2015,11,5964,170764
P,Soccer,2015,11,8241,170764
P,Soccer,2018,2,12402,157991
B,Soccer,2018,2,287,157973
A,Soccer,2018,2,8241,157973
B,Soccer,2016,11,245,152669
A,Soccer,2016,11,6720,152669
P,Soccer,2016,11,9611,152669
B,Soccer,2015,5,250,152058
A,Soccer,2015,5,5997,152058
P,Soccer,2015,5,8370,152058
B,Soccer,2017,2,236,148469
A,Soccer,2017,2,5884,148469
P,Soccer,2017,2,8581,148469
P,Soccer,2018,4,10224,144492
A,Soccer,2018,4,6954,144415
B,Soccer,2018,4,254,144368
P,Soccer,2018,5,9999,139440
B,Soccer,2018,5,249,139439
A,Soccer,2018,5,6808,139439
A,Soccer,2017,7,5677,139035
B,Soccer,2017,7,217,139024
P,Soccer,2017,7,8321,139014
B,Soccer,2015,7,209,135717
A,Soccer,2015,7,4245,135717
P,Soccer,2015,7,5706,135717
B,Soccer,2016,1,215,135647
A,Soccer,2016,1,5136,135647
P,Soccer,2016,1,7324,135647
B,Soccer,2018,1,247,134066
A,Soccer,2018,1,7265,134066
P,Soccer,2018,1,10880,134066
B,Soccer,2016,7,206,130187
A,Soccer,2016,7,4898,130187
P,Soccer,2016,7,6852,130187
P,Soccer,2018,11,12236,124081
B,Soccer,2016,3,189,121913
A,Soccer,2016,3,4830,121913
P,Soccer,2016,3,6937,121913
A,Soccer,2018,11,7605,121429
B,Soccer,2017,1,199,120729
A,Soccer,2017,1,5281,120729
P,Soccer,2017,1,7686,120729
